name	@lat	@lon
Zdrowa	50.0875842	19.9454412
Henryka Pachońskiego	50.0932830	19.9214733
Aleja 29 Listopada	50.0978803	19.9622459
Kocmyrzowska	50.0951139	20.0648923
Nowohucka	50.0663492	20.0040926
Nowohucka	50.0563540	20.0005464
Nowohucka	50.0519605	19.9880641
Ofiar Dąbia	50.0518339	19.9786476
Portowa	50.0511225	19.9785028
Prądnicka	50.0741642	19.9361325
Władysława Reymonta	50.0640205	19.9226114
Akademicka	50.0659191	19.9171335
Akademicka	50.0653495	19.9167990
Toruńska	50.0687678	19.9105001
Wadowicka	50.0291005	19.9366683
Prądnicka	50.0847262	19.9380481
Prądnicka	50.0823601	19.9376443
Prądnicka	50.0819772	19.9375755
Żabiniec	50.0822266	19.9463341
Leśna	50.0614858	19.8706312
Aleja Kasy Oszczędności Miasta Krakowa	50.0564014	19.8540721
Jeleniowa	50.0610468	19.8688859
Przegorzalska	50.0481508	19.8723849
Starowolska	50.0605035	19.8710097
Jodłowa	50.0541147	19.8722111
Jeleniowa	50.0616742	19.8669281
Katowicka	50.0826293	19.8876788
Wernyhory	50.0824537	19.8892577
Jabłonkowska	50.0821459	19.8880180
Balicka	50.0823843	19.8870992
Stawowa	50.0958566	19.8876346
Jasnogórska	50.0966784	19.8909489
Józefa Chełmońskiego	50.0999769	19.8870518
Ludwika Solskiego	50.0854183	19.9457722
Andrzeja Frycza-Modrzewskiego	50.0867951	19.9463412
Siewna	50.0940252	19.9518167
Józefa Łepkowskiego	50.0923594	19.9632245
Rybianka	50.0918540	19.9595275
Bolesława Czerwieńskiego	50.0854914	19.9035919
B3	50.1059720	19.9825020
Strzelców	50.0941746	19.9756662
Lublańska	50.0853534	19.9584768
Opolska	50.0865584	19.9522021
Czarnowiejska	50.0657726	19.9239836
Półłanki	50.0532313	20.0497699
Szparagowa	50.0449918	20.0450449
Jerzego Giedroycia	50.0643513	20.0816329
Nowohucka	50.0566927	20.0010460
Stanisławy Dowgiałło	50.0535151	20.0491381
Rzepakowa	50.0695973	20.1514057
Wyciąska	50.0706151	20.1622966
Adama Staszczyka	50.0757962	19.9041855
Sołtysa Dytmara	50.0802563	19.8923215
Jadwigi z Łobzowa	50.0750032	19.8999306
Cicha	50.0753417	19.8994608
Półłanki	50.0515770	20.0498025
Plac Teodora Axentowicza	50.0720244	19.9259715
Teofila Lenartowicza	50.0696797	19.9282558
Gzymsików	50.0723107	19.9289045
Henryka Sienkiewicza	50.0738797	19.9284707
Henryka Sienkiewicza	50.0711690	19.9263652
Loretańska	50.0630382	19.9303250
Garncarska	50.0601188	19.9276321
Studencka	50.0624522	19.9290221
Czysta	50.0638601	19.9272068
Krupnicza	50.0635020	19.9314577
Krupnicza	50.0634494	19.9286222
Profesora Michała Bobrzyńskiego	50.0258047	19.9035826
Zakopiańska	49.9895947	19.9158539
Księcia Józefa	50.0490451	19.9032702
Wielicka	50.0040698	20.0221627
Wielicka	50.0047904	20.0209386
Wielicka	50.0048684	20.0203984
Wielicka	50.0056764	20.0189191
Nawojki	50.0678077	19.9140603
Tytusa Czyżewskiego	50.0814690	19.9105586
Jesionowa	50.0703144	19.8766331
Zakliki z Mydlnik	50.0778430	19.8485767
Balicka	50.0837425	19.8469764
Stanisława Konarskiego	50.0670487	19.9203834
Tadeusza Kościuszki	50.0527766	19.9155297
Tadeusza Kościuszki	50.0527616	19.9161260
Wodociągowa	50.0511909	19.8954245
Skarbowa	50.0634252	19.9267247
Wenecja	50.0614341	19.9261541
Retoryka	50.0579475	19.9281511
