Kozienicka,50.0064469,19.8476058
Podgórki Tynieckie,50.0092132,19.8414250
Plac Mariacki,50.0618516,19.9398414
Władysława Ludwika Anczyca,50.0535122,19.9107719
Świętej Anny,50.0626145,19.9321624
Szewska,50.0620543,19.9362055
Szczepańska,50.0638581,19.9342788
Wiślna,50.0608787,19.9350565
Bracka,50.0610122,19.9366444
Wielopole,50.0577185,19.9458598
Stolarska,50.0600358,19.9392303
Pijarska,50.0653919,19.9373477
Mikołaja Kopernika,50.0611550,19.9457226
Strzelecka,50.0644255,19.9501929
Iwony Borowickiej,50.0662668,19.9571441
Zygmunta Augusta,50.0655667,19.9504701
Botaniczna,50.0645502,19.9549174
Gołębia,50.0608184,19.9342610
Gontyna,50.0529289,19.9112594
Aleja Jerzego Waszyngtona,50.0532489,19.9068294
Bolesława Komorowskiego,50.0538947,19.9203657
Rotmistrza Zbigniewa Dunin-Wąsowicza,50.0580922,19.9254356
Włóczków,50.0560246,19.9240244
Michała Stachowicza,50.0551002,19.9217533
Filarecka,50.0567327,19.9194465
Salwatorska,50.0545352,19.9152294
Leona Wyczółkowskiego,50.0569329,19.9142900
Dojazdowa,50.0529826,19.9215101
Emaus,50.0555477,19.9098411
Diabelski Most,50.0533145,19.9010999
Kupa,50.0512743,19.9463382
Jonatana Warszauera,50.0525991,19.9460858
Izaaka,50.0513948,19.9459164
Jakuba,50.0529425,19.9463106
Ciemna,50.0517722,19.9472605
Henryka Siemiradzkiego,50.0687960,19.9290419
Grodzka,50.0596585,19.9377646
Senacka,50.0577114,19.9385014
Plac Dominikański,50.0591129,19.9382773
Świętego Jana,50.0637366,19.9390162
Sławkowska,50.0648200,19.9383633
Krupnicza,50.0628572,19.9260219
Studencka,50.0626126,19.9311991
Kapucyńska,50.0619339,19.9311740
Igrców,50.0626560,19.9039208
Daniela Chodowieckiego,50.0648551,19.9057129
Witolda Budryka,50.0681804,19.9068388
Autostrada MS AGH,50.0681845,19.9092662
Władysława Łokietka,50.0842600,19.9237817
Lekarska,50.0865434,19.9392802
Stefana Jaracza,50.0842794,19.9447122
Zielińska,50.0959254,19.9319610
Papiernicza,50.0922818,19.9410574
Bursztynowa,50.0912648,19.9468489
Jazowa,50.0911098,19.9427978
Bałtycka,50.0917797,19.9443279
Łobzowska,50.0696680,19.9326187
Garbarska,50.0658354,19.9349677
Słowiańska,50.0691028,19.9373801
Krowoderska,50.0672243,19.9378965
Biskupia,50.0673217,19.9343551
Adama Asnyka,50.0667675,19.9348773
Basztowa,50.0661777,19.9353891
Sereno Fenn'a,50.0671146,19.9369986
Stefana Batorego,50.0670550,19.9303069
Świętej Teresy,50.0711958,19.9324317
Szlak,50.0701811,19.9328001
Rajska,50.0647087,19.9291429
Długa,50.0733669,19.9357999
Starowiślna,50.0586395,19.9431081
Stanisława Lentza,50.0842425,19.9091163
Sosnowiecka,50.0946205,19.8848848
Wojciecha Halczyna,50.0804097,19.9038092
